code,name,nameKana,hasWard,isWard
192015,甲府市,ｺｳﾌｼ,0,0
192023,富士吉田市,ﾌｼﾞﾖｼﾀﾞｼ,0,0
192040,都留市,ﾂﾙｼ,0,0
192058,山梨市,ﾔﾏﾅｼｼ,0,0
192066,大月市,ｵｵﾂｷｼ,0,0
192074,韮崎市,ﾆﾗｻｷｼ,0,0
192082,南アルプス市,ﾐﾅﾐｱﾙﾌﾟｽｼ,0,0
192091,北杜市,ﾎｸﾄｼ,0,0
192104,甲斐市,ｶｲｼ,0,0
192112,笛吹市,ﾌｴﾌｷｼ,0,0
192121,上野原市,ｳｴﾉﾊﾗｼ,0,0
192139,甲州市,ｺｳｼｭｳｼ,0,0
192147,中央市,ﾁｭｳｵｳｼ,0,0
193461,市川三郷町,ｲﾁｶﾜﾐｻﾄﾁｮｳ,0,0
193640,早川町,ﾊﾔｶﾜﾁｮｳ,0,0
193658,身延町,ﾐﾉﾌﾞﾁｮｳ,0,0
193666,南部町,ﾅﾝﾌﾞﾁｮｳ,0,0
193682,富士川町,ﾌｼﾞｶﾜﾁｮｳ,0,0
193844,昭和町,ｼｮｳﾜﾁｮｳ,0,0
194221,道志村,ﾄﾞｳｼﾑﾗ,0,0
194239,西桂町,ﾆｼｶﾂﾗﾁｮｳ,0,0
194247,忍野村,ｵｼﾉﾑﾗ,0,0
194255,山中湖村,ﾔﾏﾅｶｺﾑﾗ,0,0
194298,鳴沢村,ﾅﾙｻﾜﾑﾗ,0,0
194301,富士河口湖町,ﾌｼﾞｶﾜｸﾞﾁｺﾏﾁ,0,0
194425,小菅村,ｺｽｹﾞﾑﾗ,0,0
194433,丹波山村,ﾀﾊﾞﾔﾏﾑﾗ,0,0
