code,name,nameKana,hasWard,isWard
462012,鹿児島市,ｶｺﾞｼﾏｼ,0,0
462039,鹿屋市,ｶﾉﾔｼ,0,0
462047,枕崎市,ﾏｸﾗｻﾞｷｼ,0,0
462063,阿久根市,ｱｸﾈｼ,0,0
462080,出水市,ｲｽﾞﾐｼ,0,0
462101,指宿市,ｲﾌﾞｽｷｼ,0,0
462136,西之表市,ﾆｼﾉｵﾓﾃｼ,0,0
462144,垂水市,ﾀﾙﾐｽﾞｼ,0,0
462152,薩摩川内市,ｻﾂﾏｾﾝﾀﾞｲｼ,0,0
462161,日置市,ﾋｵｷｼ,0,0
462179,曽於市,ｿｵｼ,0,0
462187,霧島市,ｷﾘｼﾏｼ,0,0
462195,いちき串木野市,ｲﾁｷｸｼｷﾉｼ,0,0
462209,南さつま市,ﾐﾅﾐｻﾂﾏｼ,0,0
462217,志布志市,ｼﾌﾞｼｼ,0,0
462225,奄美市,ｱﾏﾐｼ,0,0
462233,南九州市,ﾐﾅﾐｷｭｳｼｭｳｼ,0,0
462241,伊佐市,ｲｻｼ,0,0
462250,姶良市,ｱｲﾗｼ,0,0
463035,三島村,ﾐｼﾏﾑﾗ,0,0
463043,十島村,ﾄｼﾏﾑﾗ,0,0
463922,さつま町,ｻﾂﾏﾁｮｳ,0,0
464040,長島町,ﾅｶﾞｼﾏﾁｮｳ,0,0
464520,湧水町,ﾕｳｽｲﾁｮｳ,0,0
464686,大崎町,ｵｵｻｷﾁｮｳ,0,0
464821,東串良町,ﾋｶﾞｼｸｼﾗﾁｮｳ,0,0
464902,錦江町,ｷﾝｺｳﾁｮｳ,0,0
464911,南大隅町,ﾐﾅﾐｵｵｽﾐﾁｮｳ,0,0
464929,肝付町,ｷﾓﾂｷﾁｮｳ,0,0
465011,中種子町,ﾅｶﾀﾈﾁｮｳ,0,0
465020,南種子町,ﾐﾅﾐﾀﾈﾁｮｳ,0,0
465054,屋久島町,ﾔｸｼﾏﾁｮｳ,0,0
465232,大和村,ﾔﾏﾄｿﾝ,0,0
465241,宇検村,ｳｹﾝｿﾝ,0,0
465259,瀬戸内町,ｾﾄｳﾁﾁｮｳ,0,0
465275,龍郷町,ﾀﾂｺﾞｳﾁｮｳ,0,0
465291,喜界町,ｷｶｲﾁｮｳ,0,0
465305,徳之島町,ﾄｸﾉｼﾏﾁｮｳ,0,0
465313,天城町,ｱﾏｷﾞﾁｮｳ,0,0
465321,伊仙町,ｲｾﾝﾁｮｳ,0,0
465330,和泊町,ﾜﾄﾞﾏﾘﾁｮｳ,0,0
465348,知名町,ﾁﾅﾁｮｳ,0,0
465356,与論町,ﾖﾛﾝﾁｮｳ,0,0
