code,name,nameKana,hasWard,isWard
121002,千葉市,ﾁﾊﾞｼ,1,0
121011,千葉市中央区,ﾁﾊﾞｼﾁｭｳｵｳｸ,0,1
121029,千葉市花見川区,ﾁﾊﾞｼﾊﾅﾐｶﾞﾜｸ,0,1
121037,千葉市稲毛区,ﾁﾊﾞｼｲﾅｹﾞｸ,0,1
121045,千葉市若葉区,ﾁﾊﾞｼﾜｶﾊﾞｸ,0,1
121053,千葉市緑区,ﾁﾊﾞｼﾐﾄﾞﾘｸ,0,1
121061,千葉市美浜区,ﾁﾊﾞｼﾐﾊﾏｸ,0,1
122025,銚子市,ﾁｮｳｼｼ,0,0
122033,市川市,ｲﾁｶﾜｼ,0,0
122041,船橋市,ﾌﾅﾊﾞｼｼ,0,0
122050,館山市,ﾀﾃﾔﾏｼ,0,0
122068,木更津市,ｷｻﾗﾂﾞｼ,0,0
122076,松戸市,ﾏﾂﾄﾞｼ,0,0
122084,野田市,ﾉﾀﾞｼ,0,0
122106,茂原市,ﾓﾊﾞﾗｼ,0,0
122114,成田市,ﾅﾘﾀｼ,0,0
122122,佐倉市,ｻｸﾗｼ,0,0
122131,東金市,ﾄｳｶﾞﾈｼ,0,0
122157,旭市,ｱｻﾋｼ,0,0
122165,習志野市,ﾅﾗｼﾉｼ,0,0
122173,柏市,ｶｼﾜｼ,0,0
122181,勝浦市,ｶﾂｳﾗｼ,0,0
122190,市原市,ｲﾁﾊﾗｼ,0,0
122203,流山市,ﾅｶﾞﾚﾔﾏｼ,0,0
122211,八千代市,ﾔﾁﾖｼ,0,0
122220,我孫子市,ｱﾋﾞｺｼ,0,0
122238,鴨川市,ｶﾓｶﾞﾜｼ,0,0
122246,鎌ケ谷市,ｶﾏｶﾞﾔｼ,0,0
122254,君津市,ｷﾐﾂｼ,0,0
122262,富津市,ﾌｯﾂｼ,0,0
122271,浦安市,ｳﾗﾔｽｼ,0,0
122289,四街道市,ﾖﾂｶｲﾄﾞｳｼ,0,0
122297,袖ケ浦市,ｿﾃﾞｶﾞｳﾗｼ,0,0
122301,八街市,ﾔﾁﾏﾀｼ,0,0
122319,印西市,ｲﾝｻﾞｲｼ,0,0
122327,白井市,ｼﾛｲｼ,0,0
122335,富里市,ﾄﾐｻﾄｼ,0,0
122343,南房総市,ﾐﾅﾐﾎﾞｳｿｳｼ,0,0
122351,匝瑳市,ｿｳｻｼ,0,0
122360,香取市,ｶﾄﾘｼ,0,0
122378,山武市,ｻﾝﾑｼ,0,0
122386,いすみ市,ｲｽﾐｼ,0,0
122394,大網白里市,ｵｵｱﾐｼﾗｻﾄｼ,0,0
123226,酒々井町,ｼｽｲﾏﾁ,0,0
123293,栄町,ｻｶｴﾏﾁ,0,0
123421,神崎町,ｺｳｻﾞｷﾏﾁ,0,0
123471,多古町,ﾀｺﾏﾁ,0,0
123498,東庄町,ﾄｳﾉｼｮｳﾏﾁ,0,0
124036,九十九里町,ｸｼﾞﾕｳｸﾘﾏﾁ,0,0
124095,芝山町,ｼﾊﾞﾔﾏﾏﾁ,0,0
124109,横芝光町,ﾖｺｼﾊﾞﾋｶﾘﾏﾁ,0,0
124214,一宮町,ｲﾁﾉﾐﾔﾏﾁ,0,0
124222,睦沢町,ﾑﾂｻﾞﾜﾏﾁ,0,0
124231,長生村,ﾁｮｳｾｲﾑﾗ,0,0
124249,白子町,ｼﾗｺﾏﾁ,0,0
124265,長柄町,ﾅｶﾞﾗﾏﾁ,0,0
124273,長南町,ﾁｮｳﾅﾝﾏﾁ,0,0
124419,大多喜町,ｵｵﾀｷﾏﾁ,0,0
124435,御宿町,ｵﾝｼﾞﾕｸﾏﾁ,0,0
124630,鋸南町,ｷﾖﾅﾝﾏﾁ,0,0
