code,name,nameKana,hasWard,isWard
271004,大阪市,ｵｵｻｶｼ,1,0
271021,大阪市都島区,ｵｵｻｶｼﾐﾔｺｼﾞﾏｸ,0,1
271039,大阪市福島区,ｵｵｻｶｼﾌｸｼﾏｸ,0,1
271047,大阪市此花区,ｵｵｻｶｼｺﾉﾊﾅｸ,0,1
271063,大阪市西区,ｵｵｻｶｼﾆｼｸ,0,1
271071,大阪市港区,ｵｵｻｶｼﾐﾅﾄｸ,0,1
271080,大阪市大正区,ｵｵｻｶｼﾀｲｼｮｳｸ,0,1
271098,大阪市天王寺区,ｵｵｻｶｼﾃﾝﾉｳｼﾞｸ,0,1
271110,大阪市浪速区,ｵｵｻｶｼﾅﾆﾜｸ,0,1
271136,大阪市西淀川区,ｵｵｻｶｼﾆｼﾖﾄﾞｶﾞﾜｸ,0,1
271144,大阪市東淀川区,ｵｵｻｶｼﾋｶﾞｼﾖﾄﾞｶﾞﾜｸ,0,1
271152,大阪市東成区,ｵｵｻｶｼﾋｶﾞｼﾅﾘｸ,0,1
271161,大阪市生野区,ｵｵｻｶｼｲｸﾉｸ,0,1
271179,大阪市旭区,ｵｵｻｶｼｱｻﾋｸ,0,1
271187,大阪市城東区,ｵｵｻｶｼｼﾞｮｳﾄｳｸ,0,1
271195,大阪市阿倍野区,ｵｵｻｶｼｱﾍﾞﾉｸ,0,1
271209,大阪市住吉区,ｵｵｻｶｼｽﾐﾖｼｸ,0,1
271217,大阪市東住吉区,ｵｵｻｶｼﾋｶﾞｼｽﾐﾖｼｸ,0,1
271225,大阪市西成区,ｵｵｻｶｼﾆｼﾅﾘｸ,0,1
271233,大阪市淀川区,ｵｵｻｶｼﾖﾄﾞｶﾞﾜｸ,0,1
271241,大阪市鶴見区,ｵｵｻｶｼﾂﾙﾐｸ,0,1
271250,大阪市住之江区,ｵｵｻｶｼｽﾐﾉｴｸ,0,1
271268,大阪市平野区,ｵｵｻｶｼﾋﾗﾉｸ,0,1
271276,大阪市北区,ｵｵｻｶｼｷﾀｸ,0,1
271284,大阪市中央区,ｵｵｻｶｼﾁｭｳｵｳｸ,0,1
271403,堺市,ｻｶｲｼ,1,0
271411,堺市堺区,ｻｶｲｼｻｶｲｸ,0,1
271420,堺市中区,ｻｶｲｼﾅｶｸ,0,1
271438,堺市東区,ｻｶｲｼﾋｶﾞｼｸ,0,1
271446,堺市西区,ｻｶｲｼﾆｼｸ,0,1
271454,堺市南区,ｻｶｲｼﾐﾅﾐｸ,0,1
271462,堺市北区,ｻｶｲｼｷﾀｸ,0,1
271471,堺市美原区,ｻｶｲｼﾐﾊﾗｸ,0,1
272027,岸和田市,ｷｼﾜﾀﾞｼ,0,0
272035,豊中市,ﾄﾖﾅｶｼ,0,0
272043,池田市,ｲｹﾀﾞｼ,0,0
272051,吹田市,ｽｲﾀｼ,0,0
272060,泉大津市,ｲｽﾞﾐｵｵﾂｼ,0,0
272078,高槻市,ﾀｶﾂｷｼ,0,0
272086,貝塚市,ｶｲﾂﾞｶｼ,0,0
272094,守口市,ﾓﾘｸﾞﾁｼ,0,0
272108,枚方市,ﾋﾗｶﾀｼ,0,0
272116,茨木市,ｲﾊﾞﾗｷｼ,0,0
272124,八尾市,ﾔｵｼ,0,0
272132,泉佐野市,ｲｽﾞﾐｻﾉｼ,0,0
272141,富田林市,ﾄﾝﾀﾞﾊﾞﾔｼｼ,0,0
272159,寝屋川市,ﾈﾔｶﾞﾜｼ,0,0
272167,河内長野市,ｶﾜﾁﾅｶﾞﾉｼ,0,0
272175,松原市,ﾏﾂﾊﾞﾗｼ,0,0
272183,大東市,ﾀﾞｲﾄｳｼ,0,0
272191,和泉市,ｲｽﾞﾐｼ,0,0
272205,箕面市,ﾐﾉｵｼ,0,0
272213,柏原市,ｶｼﾜﾗｼ,0,0
272221,羽曳野市,ﾊﾋﾞｷﾉｼ,0,0
272230,門真市,ｶﾄﾞﾏｼ,0,0
272248,摂津市,ｾｯﾂｼ,0,0
272256,高石市,ﾀｶｲｼｼ,0,0
272264,藤井寺市,ﾌｼﾞｲﾃﾞﾗｼ,0,0
272272,東大阪市,ﾋｶﾞｼｵｵｻｶｼ,0,0
272281,泉南市,ｾﾝﾅﾝｼ,0,0
272299,四條畷市,ｼｼﾞﾖｳﾅﾜﾃｼ,0,0
272302,交野市,ｶﾀﾉｼ,0,0
272311,大阪狭山市,ｵｵｻｶｻﾔﾏｼ,0,0
272329,阪南市,ﾊﾝﾅﾝｼ,0,0
273015,島本町,ｼﾏﾓﾄﾁｮｳ,0,0
273210,豊能町,ﾄﾖﾉﾁｮｳ,0,0
273228,能勢町,ﾉｾﾁｮｳ,0,0
273414,忠岡町,ﾀﾀﾞｵｶﾁｮｳ,0,0
273619,熊取町,ｸﾏﾄﾘﾁｮｳ,0,0
273627,田尻町,ﾀｼﾞﾘﾁｮｳ,0,0
273660,岬町,ﾐｻｷﾁｮｳ,0,0
273813,太子町,ﾀｲｼﾁｮｳ,0,0
273821,河南町,ｶﾅﾝﾁｮｳ,0,0
273830,千早赤阪村,ﾁﾊﾔｱｶｻｶﾑﾗ,0,0
