code,name,nameKana,hasWard,isWard
431001,熊本市,ｸﾏﾓﾄｼ,1,0
431010,熊本市中央区,ｸﾏﾓﾄｼﾁｭｳｵｳｸ,0,1
431028,熊本市東区,ｸﾏﾓﾄｼﾋｶﾞｼｸ,0,1
431036,熊本市西区,ｸﾏﾓﾄｼﾆｼｸ,0,1
431044,熊本市南区,ｸﾏﾓﾄｼﾐﾅﾐｸ,0,1
431052,熊本市北区,ｸﾏﾓﾄｼｷﾀｸ,0,1
432024,八代市,ﾔﾂｼﾛｼ,0,0
432032,人吉市,ﾋﾄﾖｼｼ,0,0
432041,荒尾市,ｱﾗｵｼ,0,0
432059,水俣市,ﾐﾅﾏﾀｼ,0,0
432067,玉名市,ﾀﾏﾅｼ,0,0
432083,山鹿市,ﾔﾏｶﾞｼ,0,0
432105,菊池市,ｷｸﾁｼ,0,0
432113,宇土市,ｳﾄｼ,0,0
432121,上天草市,ｶﾐｱﾏｸｻｼ,0,0
432130,宇城市,ｳｷｼ,0,0
432148,阿蘇市,ｱｿｼ,0,0
432156,天草市,ｱﾏｸｻｼ,0,0
432164,合志市,ｺｳｼｼ,0,0
433489,美里町,ﾐｻﾄﾏﾁ,0,0
433641,玉東町,ｷﾞｮｸﾄｳﾏﾁ,0,0
433675,南関町,ﾅﾝｶﾝﾏﾁ,0,0
433683,長洲町,ﾅｶﾞｽﾏﾁ,0,0
433691,和水町,ﾅｺﾞﾐﾏﾁ,0,0
434035,大津町,ｵｵﾂﾞﾏﾁ,0,0
434043,菊陽町,ｷｸﾖｳﾏﾁ,0,0
434230,南小国町,ﾐﾅﾐｵｸﾞﾆﾏﾁ,0,0
434248,小国町,ｵｸﾞﾆﾏﾁ,0,0
434256,産山村,ｳﾌﾞﾔﾏﾑﾗ,0,0
434281,高森町,ﾀｶﾓﾘﾏﾁ,0,0
434329,西原村,ﾆｼﾊﾗﾑﾗ,0,0
434337,南阿蘇村,ﾐﾅﾐｱｿﾑﾗ,0,0
434418,御船町,ﾐﾌﾈﾏﾁ,0,0
434426,嘉島町,ｶｼﾏﾏﾁ,0,0
434434,益城町,ﾏｼｷﾏﾁ,0,0
434442,甲佐町,ｺｳｻﾏﾁ,0,0
434477,山都町,ﾔﾏﾄﾁｮｳ,0,0
434680,氷川町,ﾋｶﾜﾁｮｳ,0,0
434825,芦北町,ｱｼｷﾀﾏﾁ,0,0
434841,津奈木町,ﾂﾅｷﾞﾏﾁ,0,0
435015,錦町,ﾆｼｷﾏﾁ,0,0
435058,多良木町,ﾀﾗｷﾞﾏﾁ,0,0
435066,湯前町,ﾕﾉﾏｴﾏﾁ,0,0
435074,水上村,ﾐｽﾞｶﾐﾑﾗ,0,0
435104,相良村,ｻｶﾞﾗﾑﾗ,0,0
435112,五木村,ｲﾂｷﾑﾗ,0,0
435121,山江村,ﾔﾏｴﾑﾗ,0,0
435139,球磨村,ｸﾏﾑﾗ,0,0
435147,あさぎり町,ｱｻｷﾞﾘﾁｮｳ,0,0
435317,苓北町,ﾚｲﾎｸﾏﾁ,0,0
