code,name,nameKana,hasWard,isWard
72010,福島市,ﾌｸｼﾏｼ,0,0
72028,会津若松市,ｱｲﾂﾞﾜｶﾏﾂｼ,0,0
72036,郡山市,ｺｵﾘﾔﾏｼ,0,0
72044,いわき市,ｲﾜｷｼ,0,0
72052,白河市,ｼﾗｶﾜｼ,0,0
72079,須賀川市,ｽｶｶﾞﾜｼ,0,0
72087,喜多方市,ｷﾀｶﾀｼ,0,0
72095,相馬市,ｿｳﾏｼ,0,0
72109,二本松市,ﾆﾎﾝﾏﾂｼ,0,0
72117,田村市,ﾀﾑﾗｼ,0,0
72125,南相馬市,ﾐﾅﾐｿｳﾏｼ,0,0
72133,伊達市,ﾀﾞﾃｼ,0,0
72141,本宮市,ﾓﾄﾐﾔｼ,0,0
73016,桑折町,ｺｵﾘﾏﾁ,0,0
73032,国見町,ｸﾆﾐﾏﾁ,0,0
73083,川俣町,ｶﾜﾏﾀﾏﾁ,0,0
73229,大玉村,ｵｵﾀﾏﾑﾗ,0,0
73423,鏡石町,ｶｶﾞﾐｲｼﾏﾁ,0,0
73440,天栄村,ﾃﾝｴｲﾑﾗ,0,0
73628,下郷町,ｼﾓｺﾞｳﾏﾁ,0,0
73644,檜枝岐村,ﾋﾉｴﾏﾀﾑﾗ,0,0
73679,只見町,ﾀﾀﾞﾐﾏﾁ,0,0
73687,南会津町,ﾐﾅﾐｱｲﾂﾞﾏﾁ,0,0
74021,北塩原村,ｷﾀｼｵﾊﾞﾗﾑﾗ,0,0
74055,西会津町,ﾆｼｱｲﾂﾞﾏﾁ,0,0
74071,磐梯町,ﾊﾞﾝﾀﾞｲﾏﾁ,0,0
74080,猪苗代町,ｲﾅﾜｼﾛﾏﾁ,0,0
74217,会津坂下町,ｱｲﾂﾞﾊﾞﾝｹﾞﾏﾁ,0,0
74225,湯川村,ﾕｶﾞﾜﾑﾗ,0,0
74233,柳津町,ﾔﾅｲﾂﾞﾏﾁ,0,0
74446,三島町,ﾐｼﾏﾏﾁ,0,0
74454,金山町,ｶﾈﾔﾏﾏﾁ,0,0
74462,昭和村,ｼｮｳﾜﾑﾗ,0,0
74471,会津美里町,ｱｲﾂﾞﾐｻﾄﾏﾁ,0,0
74616,西郷村,ﾆｼｺﾞｳﾑﾗ,0,0
74641,泉崎村,ｲｽﾞﾐｻﾞｷﾑﾗ,0,0
74659,中島村,ﾅｶｼﾞﾏﾑﾗ,0,0
74667,矢吹町,ﾔﾌﾞｷﾏﾁ,0,0
74811,棚倉町,ﾀﾅｸﾞﾗﾏﾁ,0,0
74829,矢祭町,ﾔﾏﾂﾘﾏﾁ,0,0
74837,塙町,ﾊﾅﾜﾏﾁ,0,0
74845,鮫川村,ｻﾒｶﾞﾜﾑﾗ,0,0
75019,石川町,ｲｼｶﾜﾏﾁ,0,0
75027,玉川村,ﾀﾏｶﾜﾑﾗ,0,0
75035,平田村,ﾋﾗﾀﾑﾗ,0,0
75043,浅川町,ｱｻｶﾜﾏﾁ,0,0
75051,古殿町,ﾌﾙﾄﾞﾉﾏﾁ,0,0
75213,三春町,ﾐﾊﾙﾏﾁ,0,0
75221,小野町,ｵﾉﾏﾁ,0,0
75418,広野町,ﾋﾛﾉﾏﾁ,0,0
75426,楢葉町,ﾅﾗﾊﾏﾁ,0,0
75434,富岡町,ﾄﾐｵｶﾏﾁ,0,0
75442,川内村,ｶﾜｳﾁﾑﾗ,0,0
75451,大熊町,ｵｵｸﾏﾏﾁ,0,0
75469,双葉町,ﾌﾀﾊﾞﾏﾁ,0,0
75477,浪江町,ﾅﾐｴﾏﾁ,0,0
75485,葛尾村,ｶﾂﾗｵﾑﾗ,0,0
75612,新地町,ｼﾝﾁﾏﾁ,0,0
75647,飯舘村,ｲｲﾀﾃﾑﾗ,0,0
