code,name,nameKana,hasWard,isWard
11002,札幌市,ｻｯﾎﾟﾛｼ,1,0
11011,札幌市中央区,ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ,0,1
11029,札幌市北区,ｻｯﾎﾟﾛｼｷﾀｸ,0,1
11037,札幌市東区,ｻｯﾎﾟﾛｼﾋｶﾞｼｸ,0,1
11045,札幌市白石区,ｻｯﾎﾟﾛｼｼﾛｲｼｸ,0,1
11053,札幌市豊平区,ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ,0,1
11061,札幌市南区,ｻｯﾎﾟﾛｼﾐﾅﾐｸ,0,1
11070,札幌市西区,ｻｯﾎﾟﾛｼﾆｼｸ,0,1
11088,札幌市厚別区,ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ,0,1
11096,札幌市手稲区,ｻｯﾎﾟﾛｼﾃｲﾈｸ,0,1
11100,札幌市清田区,ｻｯﾎﾟﾛｼｷﾖﾀｸ,0,1
12025,函館市,ﾊｺﾀﾞﾃｼ,0,0
12033,小樽市,ｵﾀﾙｼ,0,0
12041,旭川市,ｱｻﾋｶﾜｼ,0,0
12050,室蘭市,ﾑﾛﾗﾝｼ,0,0
12068,釧路市,ｸｼﾛｼ,0,0
12076,帯広市,ｵﾋﾞﾋﾛｼ,0,0
12084,北見市,ｷﾀﾐｼ,0,0
12092,夕張市,ﾕｳﾊﾞﾘｼ,0,0
12106,岩見沢市,ｲﾜﾐｻﾞﾜｼ,0,0
12114,網走市,ｱﾊﾞｼﾘｼ,0,0
12122,留萌市,ﾙﾓｲｼ,0,0
12131,苫小牧市,ﾄﾏｺﾏｲｼ,0,0
12149,稚内市,ﾜｯｶﾅｲｼ,0,0
12157,美唄市,ﾋﾞﾊﾞｲｼ,0,0
12165,芦別市,ｱｼﾍﾞﾂｼ,0,0
12173,江別市,ｴﾍﾞﾂｼ,0,0
12181,赤平市,ｱｶﾋﾞﾗｼ,0,0
12190,紋別市,ﾓﾝﾍﾞﾂｼ,0,0
12203,士別市,ｼﾍﾞﾂｼ,0,0
12211,名寄市,ﾅﾖﾛｼ,0,0
12220,三笠市,ﾐｶｻｼ,0,0
12238,根室市,ﾈﾑﾛｼ,0,0
12246,千歳市,ﾁﾄｾｼ,0,0
12254,滝川市,ﾀｷｶﾜｼ,0,0
12262,砂川市,ｽﾅｶﾞﾜｼ,0,0
12271,歌志内市,ｳﾀｼﾅｲｼ,0,0
12289,深川市,ﾌｶｶﾞﾜｼ,0,0
12297,富良野市,ﾌﾗﾉｼ,0,0
12301,登別市,ﾉﾎﾞﾘﾍﾞﾂｼ,0,0
12319,恵庭市,ｴﾆﾜｼ,0,0
12335,伊達市,ﾀﾞﾃｼ,0,0
12343,北広島市,ｷﾀﾋﾛｼﾏｼ,0,0
12351,石狩市,ｲｼｶﾘｼ,0,0
12360,北斗市,ﾎｸﾄｼ,0,0
13030,当別町,ﾄｳﾍﾞﾂﾁｮｳ,0,0
13048,新篠津村,ｼﾝｼﾉﾂﾑﾗ,0,0
13315,松前町,ﾏﾂﾏｴﾁｮｳ,0,0
13323,福島町,ﾌｸｼﾏﾁｮｳ,0,0
13331,知内町,ｼﾘｳﾁﾁｮｳ,0,0
13340,木古内町,ｷｺﾅｲﾁｮｳ,0,0
13374,七飯町,ﾅﾅｴﾁｮｳ,0,0
13439,鹿部町,ｼｶﾍﾞﾁｮｳ,0,0
13455,森町,ﾓﾘﾏﾁ,0,0
13463,八雲町,ﾔｸﾓﾁｮｳ,0,0
13471,長万部町,ｵｼｬﾏﾝﾍﾞﾁｮｳ,0,0
13617,江差町,ｴｻｼﾁｮｳ,0,0
13625,上ノ国町,ｶﾐﾉｸﾆﾁｮｳ,0,0
13633,厚沢部町,ｱｯｻﾌﾞﾁｮｳ,0,0
13641,乙部町,ｵﾄﾍﾞﾁｮｳ,0,0
13676,奥尻町,ｵｸｼﾘﾁｮｳ,0,0
13706,今金町,ｲﾏｶﾈﾁｮｳ,0,0
13714,せたな町,ｾﾀﾅﾁｮｳ,0,0
13919,島牧村,ｼﾏﾏｷﾑﾗ,0,0
13927,寿都町,ｽｯﾂﾁｮｳ,0,0
13935,黒松内町,ｸﾛﾏﾂﾅｲﾁｮｳ,0,0
13943,蘭越町,ﾗﾝｺｼﾁｮｳ,0,0
13951,ニセコ町,ﾆｾｺﾁｮｳ,0,0
13960,真狩村,ﾏｯｶﾘﾑﾗ,0,0
13978,留寿都村,ﾙｽﾂﾑﾗ,0,0
13986,喜茂別町,ｷﾓﾍﾞﾂﾁｮｳ,0,0
13994,京極町,ｷｮｳｺﾞｸﾁｮｳ,0,0
14001,倶知安町,ｸｯﾁｬﾝﾁｮｳ,0,0
14010,共和町,ｷｮｳﾜﾁｮｳ,0,0
14028,岩内町,ｲﾜﾅｲﾁｮｳ,0,0
14036,泊村,ﾄﾏﾘﾑﾗ,0,0
14044,神恵内村,ｶﾓｴﾅｲﾑﾗ,0,0
14052,積丹町,ｼｬｺﾀﾝﾁｮｳ,0,0
14061,古平町,ﾌﾙﾋﾞﾗﾁｮｳ,0,0
14079,仁木町,ﾆｷﾁｮｳ,0,0
14087,余市町,ﾖｲﾁﾁｮｳ,0,0
14095,赤井川村,ｱｶｲｶﾞﾜﾑﾗ,0,0
14231,南幌町,ﾅﾝﾎﾟﾛﾁｮｳ,0,0
14249,奈井江町,ﾅｲｴﾁｮｳ,0,0
14257,上砂川町,ｶﾐｽﾅｶﾞﾜﾁｮｳ,0,0
14273,由仁町,ﾕﾆﾁｮｳ,0,0
14281,長沼町,ﾅｶﾞﾇﾏﾁｮｳ,0,0
14290,栗山町,ｸﾘﾔﾏﾁｮｳ,0,0
14303,月形町,ﾂｷｶﾞﾀﾁｮｳ,0,0
14311,浦臼町,ｳﾗｳｽﾁｮｳ,0,0
14320,新十津川町,ｼﾝﾄﾂｶﾜﾁｮｳ,0,0
14338,妹背牛町,ﾓｾｳｼﾁｮｳ,0,0
14346,秩父別町,ﾁｯﾌﾟﾍﾞﾂﾁｮｳ,0,0
14362,雨竜町,ｳﾘｭｳﾁｮｳ,0,0
14371,北竜町,ﾎｸﾘｭｳﾁｮｳ,0,0
14389,沼田町,ﾇﾏﾀﾁｮｳ,0,0
14524,鷹栖町,ﾀｶｽﾁｮｳ,0,0
14532,東神楽町,ﾋｶﾞｼｶｸﾞﾗﾁｮｳ,0,0
14541,当麻町,ﾄｳﾏﾁｮｳ,0,0
14559,比布町,ﾋﾟｯﾌﾟﾁｮｳ,0,0
14567,愛別町,ｱｲﾍﾞﾂﾁｮｳ,0,0
14575,上川町,ｶﾐｶﾜﾁｮｳ,0,0
14583,東川町,ﾋｶﾞｼｶﾜﾁｮｳ,0,0
14591,美瑛町,ﾋﾞｴｲﾁｮｳ,0,0
14605,上富良野町,ｶﾐﾌﾗﾉﾁｮｳ,0,0
14613,中富良野町,ﾅｶﾌﾗﾉﾁｮｳ,0,0
14621,南富良野町,ﾐﾅﾐﾌﾗﾉﾁｮｳ,0,0
14630,占冠村,ｼﾑｶｯﾌﾟﾑﾗ,0,0
14648,和寒町,ﾜｯｻﾑﾁｮｳ,0,0
14656,剣淵町,ｹﾝﾌﾞﾁﾁｮｳ,0,0
14681,下川町,ｼﾓｶﾜﾁｮｳ,0,0
14699,美深町,ﾋﾞﾌｶﾁｮｳ,0,0
14702,音威子府村,ｵﾄｲﾈｯﾌﾟﾑﾗ,0,0
14711,中川町,ﾅｶｶﾞﾜﾁｮｳ,0,0
14729,幌加内町,ﾎﾛｶﾅｲﾁｮｳ,0,0
14818,増毛町,ﾏｼｹﾁｮｳ,0,0
14826,小平町,ｵﾋﾞﾗﾁｮｳ,0,0
14834,苫前町,ﾄﾏﾏｴﾁｮｳ,0,0
14842,羽幌町,ﾊﾎﾞﾛﾁｮｳ,0,0
14851,初山別村,ｼｮｻﾝﾍﾞﾂﾑﾗ,0,0
14869,遠別町,ｴﾝﾍﾞﾂﾁｮｳ,0,0
14877,天塩町,ﾃｼｵﾁｮｳ,0,0
15113,猿払村,ｻﾙﾌﾂﾑﾗ,0,0
15121,浜頓別町,ﾊﾏﾄﾝﾍﾞﾂﾁｮｳ,0,0
15130,中頓別町,ﾅｶﾄﾝﾍﾞﾂﾁｮｳ,0,0
15148,枝幸町,ｴｻｼﾁｮｳ,0,0
15164,豊富町,ﾄﾖﾄﾐﾁｮｳ,0,0
15172,礼文町,ﾚﾌﾞﾝﾁｮｳ,0,0
15181,利尻町,ﾘｼﾘﾁｮｳ,0,0
15199,利尻富士町,ﾘｼﾘﾌｼﾞﾁｮｳ,0,0
15202,幌延町,ﾎﾛﾉﾍﾞﾁｮｳ,0,0
15431,美幌町,ﾋﾞﾎﾛﾁｮｳ,0,0
15440,津別町,ﾂﾍﾞﾂﾁｮｳ,0,0
15458,斜里町,ｼｬﾘﾁｮｳ,0,0
15466,清里町,ｷﾖｻﾄﾁｮｳ,0,0
15474,小清水町,ｺｼﾐｽﾞﾁｮｳ,0,0
15491,訓子府町,ｸﾝﾈｯﾌﾟﾁｮｳ,0,0
15504,置戸町,ｵｹﾄﾁｮｳ,0,0
15521,佐呂間町,ｻﾛﾏﾁｮｳ,0,0
15555,遠軽町,ｴﾝｶﾞﾙﾁｮｳ,0,0
15598,湧別町,ﾕｳﾍﾞﾂﾁｮｳ,0,0
15601,滝上町,ﾀｷﾉｳｴﾁｮｳ,0,0
15610,興部町,ｵｺｯﾍﾟﾁｮｳ,0,0
15628,西興部村,ﾆｼｵｺｯﾍﾟﾑﾗ,0,0
15636,雄武町,ｵｳﾑﾁｮｳ,0,0
15644,大空町,ｵｵｿﾞﾗﾁｮｳ,0,0
15717,豊浦町,ﾄﾖｳﾗﾁｮｳ,0,0
15750,壮瞥町,ｿｳﾍﾞﾂﾁｮｳ,0,0
15784,白老町,ｼﾗｵｲﾁｮｳ,0,0
15814,厚真町,ｱﾂﾏﾁｮｳ,0,0
15849,洞爺湖町,ﾄｳﾔｺﾁｮｳ,0,0
15857,安平町,ｱﾋﾞﾗﾁｮｳ,0,0
15865,むかわ町,ﾑｶﾜﾁｮｳ,0,0
