code,name,nameKana,hasWard,isWard
331007,岡山市,ｵｶﾔﾏｼ,1,0
331015,岡山市北区,ｵｶﾔﾏｼｷﾀｸ,0,1
331023,岡山市中区,ｵｶﾔﾏｼﾅｶｸ,0,1
331031,岡山市東区,ｵｶﾔﾏｼﾋｶﾞｼｸ,0,1
331040,岡山市南区,ｵｶﾔﾏｼﾐﾅﾐｸ,0,1
332020,倉敷市,ｸﾗｼｷｼ,0,0
332038,津山市,ﾂﾔﾏｼ,0,0
332046,玉野市,ﾀﾏﾉｼ,0,0
332054,笠岡市,ｶｻｵｶｼ,0,0
332071,井原市,ｲﾊﾞﾗｼ,0,0
332089,総社市,ｿｳｼﾞﾔｼ,0,0
332097,高梁市,ﾀｶﾊｼｼ,0,0
332101,新見市,ﾆｲﾐｼ,0,0
332119,備前市,ﾋﾞｾﾞﾝｼ,0,0
332127,瀬戸内市,ｾﾄｳﾁｼ,0,0
332135,赤磐市,ｱｶｲﾜｼ,0,0
332143,真庭市,ﾏﾆﾜｼ,0,0
332151,美作市,ﾐﾏｻｶｼ,0,0
332160,浅口市,ｱｻｸﾁｼ,0,0
333468,和気町,ﾜｹﾁｮｳ,0,0
334235,早島町,ﾊﾔｼﾏﾁｮｳ,0,0
334456,里庄町,ｻﾄｼｮｳﾁｮｳ,0,0
334618,矢掛町,ﾔｶｹﾞﾁｮｳ,0,0
335860,新庄村,ｼﾝｼﾞﾖｳｿﾝ,0,0
336068,鏡野町,ｶｶﾞﾐﾉﾁｮｳ,0,0
336220,勝央町,ｼｮｳｵｳﾁｮｳ,0,0
336238,奈義町,ﾅｷﾞﾁｮｳ,0,0
336432,西粟倉村,ﾆｼｱﾜｸﾗｿﾝ,0,0
336637,久米南町,ｸﾒﾅﾝﾁｮｳ,0,0
336661,美咲町,ﾐｻｷﾁｮｳ,0,0
336815,吉備中央町,ｷﾋﾞﾁｭｳｵｳﾁｮｳ,0,0
