code,name,nameKana,hasWard,isWard
281000,神戸市,ｺｳﾍﾞｼ,1,0
281018,神戸市東灘区,ｺｳﾍﾞｼﾋｶﾞｼﾅﾀﾞｸ,0,1
281026,神戸市灘区,ｺｳﾍﾞｼﾅﾀﾞｸ,0,1
281051,神戸市兵庫区,ｺｳﾍﾞｼﾋｮｳｺﾞｸ,0,1
281069,神戸市長田区,ｺｳﾍﾞｼﾅｶﾞﾀｸ,0,1
281077,神戸市須磨区,ｺｳﾍﾞｼｽﾏｸ,0,1
281085,神戸市垂水区,ｺｳﾍﾞｼﾀﾙﾐｸ,0,1
281093,神戸市北区,ｺｳﾍﾞｼｷﾀｸ,0,1
281107,神戸市中央区,ｺｳﾍﾞｼﾁｭｳｵｳｸ,0,1
281115,神戸市西区,ｺｳﾍﾞｼﾆｼｸ,0,1
282014,姫路市,ﾋﾒｼﾞｼ,0,0
282022,尼崎市,ｱﾏｶﾞｻｷｼ,0,0
282031,明石市,ｱｶｼｼ,0,0
282049,西宮市,ﾆｼﾉﾐﾔｼ,0,0
282057,洲本市,ｽﾓﾄｼ,0,0
282065,芦屋市,ｱｼﾔｼ,0,0
282073,伊丹市,ｲﾀﾐｼ,0,0
282081,相生市,ｱｲｵｲｼ,0,0
282090,豊岡市,ﾄﾖｵｶｼ,0,0
282103,加古川市,ｶｺｶﾞﾜｼ,0,0
282120,赤穂市,ｱｺｳｼ,0,0
282138,西脇市,ﾆｼﾜｷｼ,0,0
282146,宝塚市,ﾀｶﾗﾂﾞｶｼ,0,0
282154,三木市,ﾐｷｼ,0,0
282162,高砂市,ﾀｶｻｺﾞｼ,0,0
282171,川西市,ｶﾜﾆｼｼ,0,0
282189,小野市,ｵﾉｼ,0,0
282197,三田市,ｻﾝﾀﾞｼ,0,0
282201,加西市,ｶｻｲｼ,0,0
282219,丹波篠山市,ﾀﾝﾊﾞｻｻﾔﾏｼ,0,0
282227,養父市,ﾔﾌﾞｼ,0,0
282235,丹波市,ﾀﾝﾊﾞｼ,0,0
282243,南あわじ市,ﾐﾅﾐｱﾜｼﾞｼ,0,0
282251,朝来市,ｱｻｺﾞｼ,0,0
282260,淡路市,ｱﾜｼﾞｼ,0,0
282278,宍粟市,ｼｿｳｼ,0,0
282286,加東市,ｶﾄｳｼ,0,0
282294,たつの市,ﾀﾂﾉｼ,0,0
283011,猪名川町,ｲﾅｶﾞﾜﾁｮｳ,0,0
283657,多可町,ﾀｶﾁｮｳ,0,0
283819,稲美町,ｲﾅﾐﾁｮｳ,0,0
283827,播磨町,ﾊﾘﾏﾁｮｳ,0,0
284424,市川町,ｲﾁｶﾜﾁｮｳ,0,0
284432,福崎町,ﾌｸｻｷﾁｮｳ,0,0
284467,神河町,ｶﾐｶﾜﾁｮｳ,0,0
284645,太子町,ﾀｲｼﾁｮｳ,0,0
284815,上郡町,ｶﾐｺﾞｵﾘﾁｮｳ,0,0
285013,佐用町,ｻﾖｳﾁｮｳ,0,0
285854,香美町,ｶﾐﾁｮｳ,0,0
285862,新温泉町,ｼﾝｵﾝｾﾝﾁｮｳ,0,0
