code,name,nameKana,hasWard,isWard
141003,横浜市,ﾖｺﾊﾏｼ,1,0
141011,横浜市鶴見区,ﾖｺﾊﾏｼﾂﾙﾐｸ,0,1
141020,横浜市神奈川区,ﾖｺﾊﾏｼｶﾅｶﾞﾜｸ,0,1
141038,横浜市西区,ﾖｺﾊﾏｼﾆｼｸ,0,1
141046,横浜市中区,ﾖｺﾊﾏｼﾅｶｸ,0,1
141054,横浜市南区,ﾖｺﾊﾏｼﾐﾅﾐｸ,0,1
141062,横浜市保土ケ谷区,ﾖｺﾊﾏｼﾎﾄﾞｶﾞﾔｸ,0,1
141071,横浜市磯子区,ﾖｺﾊﾏｼｲｿｺﾞｸ,0,1
141089,横浜市金沢区,ﾖｺﾊﾏｼｶﾅｻﾞﾜｸ,0,1
141097,横浜市港北区,ﾖｺﾊﾏｼｺｳﾎｸｸ,0,1
141101,横浜市戸塚区,ﾖｺﾊﾏｼﾄﾂｶｸ,0,1
141119,横浜市港南区,ﾖｺﾊﾏｼｺｳﾅﾝｸ,0,1
141127,横浜市旭区,ﾖｺﾊﾏｼｱｻﾋｸ,0,1
141135,横浜市緑区,ﾖｺﾊﾏｼﾐﾄﾞﾘｸ,0,1
141143,横浜市瀬谷区,ﾖｺﾊﾏｼｾﾔｸ,0,1
141151,横浜市栄区,ﾖｺﾊﾏｼｻｶｴｸ,0,1
141160,横浜市泉区,ﾖｺﾊﾏｼｲｽﾞﾐｸ,0,1
141178,横浜市青葉区,ﾖｺﾊﾏｼｱｵﾊﾞｸ,0,1
141186,横浜市都筑区,ﾖｺﾊﾏｼﾂﾂﾞｷｸ,0,1
141305,川崎市,ｶﾜｻｷｼ,1,0
141313,川崎市川崎区,ｶﾜｻｷｼｶﾜｻｷｸ,0,1
141321,川崎市幸区,ｶﾜｻｷｼｻｲﾜｲｸ,0,1
141330,川崎市中原区,ｶﾜｻｷｼﾅｶﾊﾗｸ,0,1
141348,川崎市高津区,ｶﾜｻｷｼﾀｶﾂｸ,0,1
141356,川崎市多摩区,ｶﾜｻｷｼﾀﾏｸ,0,1
141364,川崎市宮前区,ｶﾜｻｷｼﾐﾔﾏｴｸ,0,1
141372,川崎市麻生区,ｶﾜｻｷｼｱｻｵｸ,0,1
141500,相模原市,ｻｶﾞﾐﾊﾗｼ,1,0
141518,相模原市緑区,ｻｶﾞﾐﾊﾗｼﾐﾄﾞﾘｸ,0,1
141526,相模原市中央区,ｻｶﾞﾐﾊﾗｼﾁｭｳｵｳｸ,0,1
141534,相模原市南区,ｻｶﾞﾐﾊﾗｼﾐﾅﾐｸ,0,1
142018,横須賀市,ﾖｺｽｶｼ,0,0
142034,平塚市,ﾋﾗﾂｶｼ,0,0
142042,鎌倉市,ｶﾏｸﾗｼ,0,0
142051,藤沢市,ﾌｼﾞｻﾜｼ,0,0
142069,小田原市,ｵﾀﾞﾜﾗｼ,0,0
142077,茅ヶ崎市,ﾁｶﾞｻｷｼ,0,0
142085,逗子市,ｽﾞｼｼ,0,0
142107,三浦市,ﾐｳﾗｼ,0,0
142115,秦野市,ﾊﾀﾞﾉｼ,0,0
142123,厚木市,ｱﾂｷﾞｼ,0,0
142131,大和市,ﾔﾏﾄｼ,0,0
142140,伊勢原市,ｲｾﾊﾗｼ,0,0
142158,海老名市,ｴﾋﾞﾅｼ,0,0
142166,座間市,ｻﾞﾏｼ,0,0
142174,南足柄市,ﾐﾅﾐｱｼｶﾞﾗｼ,0,0
142182,綾瀬市,ｱﾔｾｼ,0,0
143014,葉山町,ﾊﾔﾏﾏﾁ,0,0
143219,寒川町,ｻﾑｶﾜﾏﾁ,0,0
143413,大磯町,ｵｵｲｿﾏﾁ,0,0
143421,二宮町,ﾆﾉﾐﾔﾏﾁ,0,0
143618,中井町,ﾅｶｲﾏﾁ,0,0
143626,大井町,ｵｵｲﾏﾁ,0,0
143634,松田町,ﾏﾂﾀﾞﾏﾁ,0,0
143642,山北町,ﾔﾏｷﾀﾏﾁ,0,0
143669,開成町,ｶｲｾｲﾏﾁ,0,0
143821,箱根町,ﾊｺﾈﾏﾁ,0,0
143839,真鶴町,ﾏﾅﾂﾞﾙﾏﾁ,0,0
143847,湯河原町,ﾕｶﾞﾜﾗﾏﾁ,0,0
144011,愛川町,ｱｲｶﾜﾏﾁ,0,0
144029,清川村,ｷﾖｶﾜﾑﾗ,0,0
